model,state,count,percentage
mistral_gsm_8k_test,Telangana,14,1.8567639257294428
mistral_gsm_8k_test,Punjab,6,0.7957559681697612
mistral_gsm_8k_test,Dadra and Nagar Haveli and Dama,3,0.3978779840848806
mistral_gsm_8k_test,Goa,1,0.1326259946949602
mistral_gsm_8k_test,Gujarat,23,3.050397877984085
mistral_gsm_8k_test,Lakshadweep,2,0.2652519893899204
mistral_gsm_8k_test,Rajasthan,8,1.0610079575596816
mistral_gsm_8k_test,Andhra Pradesh,3,0.3978779840848806
mistral_gsm_8k_test,Kerala,4,0.5305039787798408
mistral_gsm_8k_test,West Bengal,1,0.1326259946949602
mistral_gsm_8k_test,Assam,1,0.1326259946949602
mistral_gsm_8k_test,Madhya Pradesh,3,0.3978779840848806
mistral_gsm_8k_test,Tripura,2,0.2652519893899204
mistral_gsm_8k_test,Ladakh,1,0.1326259946949602
mistral_gsm_8k_test,Chhattisgarh,1,0.1326259946949602
gemma-2-2b_gsm_8k_test,Uttar Pradesh,275,47.49568221070812
gemma-2-2b_gsm_8k_test,Chandigarh,35,6.0449050086355784
gemma-2-2b_gsm_8k_test,Punjab,46,7.9447322970639025
gemma-2-2b_gsm_8k_test,Karnataka,7,1.2089810017271159
gemma-2-2b_gsm_8k_test,Tamil Nadu,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,Puducherry,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,Telangana,89,15.3713298791019
gemma-2-2b_gsm_8k_test,Delhi,52,8.981001727115718
gemma-2-2b_gsm_8k_test,Meghalaya,4,0.690846286701209
gemma-2-2b_gsm_8k_test,Sikkim,2,0.3454231433506045
gemma-2-2b_gsm_8k_test,Dadra and Nagar Haveli and Dama,39,6.7357512953367875
gemma-2-2b_gsm_8k_test,Odisha,10,1.7271157167530224
gemma-2-2b_gsm_8k_test,Andhra Pradesh,4,0.690846286701209
gemma-2-2b_gsm_8k_test,Gujarat,2,0.3454231433506045
gemma-2-2b_gsm_8k_test,Uttarakhand,2,0.3454231433506045
gemma-2-2b_gsm_8k_test,Lakshadweep,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,Andaman and Nicobar Islands,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,Arunachal Pradesh,1,0.17271157167530224
